                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                0.72171,                0.71926,                 1.1827,                0.74497,                0.64383,                0.64885,                0.37518,                 1.5765,                  1.528,                 1.8374,               0.000416,               0.000416,               0.000416
                     83,                 0.7158,                 0.7034,                 1.1729,                0.73797,                0.62449,                0.64274,                0.37397,                 1.5834,                 1.5354,                 1.8441,              0.0003962,              0.0003962,              0.0003962
                     84,                0.71254,                0.69635,                 1.1709,                0.73146,                0.65595,                0.66039,                0.38042,                 1.5777,                 1.5329,                 1.7946,              0.0003764,              0.0003764,              0.0003764
                     85,                0.71457,                 0.6974,                 1.1712,                0.70641,                0.68571,                0.65689,                0.37935,                   1.58,                  1.541,                  1.833,              0.0003566,              0.0003566,              0.0003566
                     86,                0.71172,                0.69394,                 1.1723,                0.68766,                0.65714,                0.64244,                0.37304,                 1.5445,                 1.5453,                 1.7827,              0.0003368,              0.0003368,              0.0003368
                     87,                0.70761,                0.69602,                 1.1674,                0.74279,                 0.6365,                0.64521,                0.38206,                 1.5594,                  1.562,                 1.8072,               0.000317,               0.000317,               0.000317
                     88,                0.69685,                0.67668,                  1.161,                0.74829,                0.64898,                0.64905,                0.38155,                 1.5846,                 1.5777,                 1.8295,              0.0002972,              0.0002972,              0.0002972
                     89,                0.70449,                0.68999,                 1.1646,                0.72048,                0.64178,                0.64646,                0.37024,                  1.623,                 1.5623,                 1.8796,              0.0002774,              0.0002774,              0.0002774
                     90,                0.70164,                0.68073,                 1.1661,                 0.7099,                0.65714,                0.64523,                0.37492,                 1.6082,                 1.5915,                 1.8485,              0.0002576,              0.0002576,              0.0002576
                     91,                 0.7378,                0.61391,                 1.2075,                0.69269,                0.61633,                0.62495,                0.36861,                 1.5735,                 1.6001,                  1.841,              0.0002378,              0.0002378,              0.0002378
                     92,                0.68417,                0.52929,                 1.1643,                0.71707,                0.57959,                0.62339,                0.36553,                 1.5809,                 1.6893,                 1.8484,               0.000218,               0.000218,               0.000218
                     93,                0.67617,                0.51483,                 1.1538,                 0.7537,                0.57143,                0.62422,                0.37316,                 1.5934,                  1.686,                 1.8538,              0.0001982,              0.0001982,              0.0001982
                     94,                0.66221,                 0.5043,                 1.1468,                0.71953,                0.59686,                0.62597,                0.37075,                 1.6163,                  1.706,                 1.8808,              0.0001784,              0.0001784,              0.0001784
                     95,                0.65527,                 0.4965,                 1.1409,                0.68388,                0.60408,                 0.6242,                0.36472,                 1.5893,                 1.7439,                  1.854,              0.0001586,              0.0001586,              0.0001586
                     96,                0.65342,                0.49179,                 1.1388,                0.66662,                0.62844,                0.63747,                0.37115,                 1.5873,                 1.7472,                 1.8663,              0.0001388,              0.0001388,              0.0001388
                     97,                0.63815,                0.47532,                 1.1284,                0.71366,                0.61038,                0.63441,                0.37131,                 1.5927,                 1.7693,                 1.8762,               0.000119,               0.000119,               0.000119
                     98,                0.63397,                0.46915,                 1.1194,                0.71836,                0.60381,                0.63407,                0.36604,                 1.6404,                 1.7449,                 1.9497,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.62638,                0.46383,                 1.1191,                 0.7111,                    0.6,                0.62694,                 0.3664,                 1.6341,                 1.7692,                 1.9441,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.61612,                0.45368,                 1.1099,                0.72575,                0.59592,                0.62468,                0.36548,                 1.6306,                 1.7515,                 1.9372,               5.96e-05,               5.96e-05,               5.96e-05
